name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 20782 b,Confirmed,1.9,0.5,0.5,1.9,0.5,0.5,,,,591.9,2.8,2.8,1.381,0.005,0.005,0.97,0.01,0.01,,,,0.03834,2006,19-01-2016,147.7,6.5,6.5,2451175.9,8.4,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 20782,50.0125,-28.8538889,7.38,,,,,36.02,1,1,-0.05,0.03,0.03,1,0.03,0.03,,,,G2 V,7.1,4.3,4.3,5578,30,30,,,
HD 207832 Ab,Confirmed,0.56,0.03,0.03,0.56,0.03,0.03,,,,161.97,0.78,0.78,0.57,0.002,0.002,0.13,0.05,0.05,,,,,2012,06-08-2024,130.8,83.4,83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 207832 b,,HD 207832 A,328.15,-26.0267,8.7986,,,,,54.4,2.7,2.7,0.06,,,0.94,0.1,0.1,0.901,0.056,0.056,G5V,4.5,4.5,4.5,5710,81,81,,,HD 207832
HD 207832 Ac,Confirmed,0.73,0.05,0.05,0.73,0.05,0.05,,,,1155.7,37,37,2.112,0.045,0.045,0.27,0.1,0.1,,,,,2012,28-07-2024,121.6,76.5,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 207832 c,,HD 207832 A,328.15,-26.0267,8.7986,,,,,54.4,2.7,2.7,0.06,,,0.94,0.1,0.1,0.901,0.056,0.056,G5V,4.5,4.5,4.5,5710,81,81,,,HD 207832
HD 208487 b,Confirmed,0.413,0.05,0.05,0.413,0.05,0.05,,,,129.8,0.4,0.4,0.51,0.02,0.02,0.21,0.09,0.09,,,,0.011333,2004,23-12-2010,123,40,40,51008,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 208487,329.3291667,-37.7636111,7.48,,,,,45,,,-0.06,0.05,0.05,1.3,,,1.15,,,G2V,3.88,,,5929,,,,,
HD 208527 b,Confirmed,9.9,1.7,1.7,9.9,1.7,1.7,,,,875.5,5.8,5.8,2.1,0.2,0.2,0.08,0.04,0.04,,,,,2012,12-11-2012,278,19.5,19.5,2450745.3,45.7,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 208527,329.1,21.24,6.4,,,,,320.2,61.1,61.1,-0.09,0.16,0.16,1.6,0.4,0.4,51.1,8.3,8.3,M1III,2,1.3,1.3,4035,65,65,,,
HD 20868 b,Confirmed,1.99,0.05,0.05,1.99,0.05,0.05,,,,380.85,0.09,0.09,0.947,0.012,0.012,0.75,0.002,0.002,,,,0.019366,2008,27-08-2014,356.2,0.4,0.4,2454451.52,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 20868,50.1791667,-33.73,9.92,,,,,48.9,3.5,3.5,0.04,0.1,0.1,0.78,0.03,0.03,0.79,,,K3/4IV,4.5,4,4,4795,12.4,12.4,,,
HD 208897 b,Confirmed,1.4,0.08,0.08,1.4,0.08,0.08,,,,352.7,1.7,1.7,1.05,0.03,0.03,0.07,0.06,0.06,,,,,2017,09-08-2017,167,83,83,2455036,82,82,,,,,,,,,,,,,,,,,,,34.7,2.2,2.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 208897,329.7487141,19.02030375,6.51,,,,,64.68,,,0.21,0.15,0.15,1.25,0.11,0.11,4.98,0.2,0.2,K0,,,,4860,100,100,,,HIP 108513
HD 209262 b,Confirmed,32.3,1.5,1.5,32.3,1.5,1.5,,,,5430,100,100,6.16,0.13,0.13,0.35,0.01,0.01,,,,,2015,29-06-2024,-104.1,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,385,11,11,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 209262,330.475507,4.770448797,8.02,,6.82,6.6,6.45,49.4051,0.3065,0.3065,0.13,0.03,0.03,1.03,0.125,0.125,1.147,0.0506,0.0506,G2V,,,,5768.06,110.259,110.259,,,
HD 209458 b,Confirmed,0.69,0.017,0.017,,0.017,0.017,1.38,0.018,0.018,3.52472,2.82E-05,2.82E-05,0.04747,0.00055,0.00055,0.0082,0.0082,0.0082,86.59,0.046,0.046,0.00101,1999,19-11-2024,43.8,68,68,2452968.399,,,,,,2453344.768,0.000617,0.000617,2459453.156,0.003,0.003,,,,0.5,0.007,0.007,,0.021,0.021,84.3,0.88,0.88,,,,,,0.096,0.016,0.016,,Published in a refereed paper,Radial Velocity,Radial Velocity,Primary Transit,,"C, Ca, CCH, CH4, CO, CO2, Fe, Fe+, H, H2, H2O, HCN, He, K, Mg, Mn, Na, NH3, O2, O I, Sc, TiO, V, VO",HD 209458,330.7916667,18.8844444,7.65,,,,,47,,,0.02,0.05,0.05,1.148,0.022,0.022,1.203,0.061,0.061,G0 V,4,2,2,6092,103,103,,,
HD 210193 b,Confirmed,0.4817,0.0733,0.0733,0.4817,0.0733,0.0733,,,,649.918,8.6,8.6,1.487,0.031,0.031,0.24,0.09,0.09,,,,,2019,26-04-2019,168.84,28.7,28.7,,,,,,,,,,,,,,,,,,,,,,11.4,1.56,1.56,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 210193,332.4,-41.23,,,,,,42.25,0.08,0.08,,,,1.04,0.06,0.06,,,,G3V,,,,5790,50,50,,,
HD 210277 b,Confirmed,1.23,0.03,0.03,1.23,0.03,0.03,,,,442.1,0.4,0.4,1.1,0.02,0.02,0.472,0.011,0.011,,,,0.051667,1998,05-09-2006,118.2,1.9,1.9,50988.2,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 210277,332.3708333,-7.5422222,6.63,,,,,21.29,0.36,0.36,0.19,0.04,0.04,1.09,,,1.1,0.05,0.05,G0,6.93,,,5532,14,14,IR Excess,,
HD 210702 Ab,Confirmed,1.808,0.097,0.097,1.808,0.097,0.097,1.216,,,354.1,0.7,0.7,1.148,0.057,0.057,0.028,0.034,0.034,,,,0.020893,2007,04-08-2024,189,66,66,2454042,64,64,,,,,,,,,,,,,,,,,,,37.8,2,2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 210702 A,332.9625,16.0405556,5.93,,,,,56,2.3,2.3,0.12,0.04,0.04,1.61,0.18,0.18,4.92,0.4,0.4,K1III-IV,1.4,1,1,4951,44,44,,,
HD 210797 b,Confirmed,49.993,9.417,9.417,,,,,,,23064.4,3306.6,3306.6,15.564,1.751,1.751,0.406,0.079,0.079,131.881,2.861,2.861,,2022,19-06-2024,314.102,9.219,9.219,,,,,,,,,,,,,,,,,,,,,,301.762,54.588,54.588,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Astrometry,,,,HD 210797,333.5775606,-53.30016961,10.04,,8.572,8.175,8.078,64.1465,0.1385,0.1385,,,,0.91,0.113,0.113,0.7238,0.041,0.041,G8V,,,,5283,123.695,123.695,,,
HD 211403 b,Confirmed,5.54,0.39,0.39,5.54,0.39,0.39,,,,223.8,0.41,0.41,0.768,0.013,0.013,0.084,0.044,0.044,,,,,2021,13-07-2021,190,57,57,2455929,54,54,,,,,,,,,,,,,,,,,,,165.5,10,10,380,13,13,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 211403,333.8166667,58.27555557,8.5,,,,,83.29,0.2,0.2,0.18,0.04,0.04,1.2,0.06,0.06,1.206,0.08,0.08,F7V,,,,6273,44,44,,,
HD 211810 b,Confirmed,0.67,0.44,0.44,0.67,0.44,0.44,,,,1558,22,22,2.656,0.043,0.043,0.68,0.14,0.14,,,,,2018,18-09-2018,98,14,14,2464763,86,86,,,,,,,,,,,,,,,,,,,15.6,7.2,7.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 211810,334.5291667,61.13444445,8.59,,,,,61,,,0.17,,,1.03,0.02,0.02,1.13,1.13,1.13,G5,,,,5652,,,,,
HD 211970 b,Confirmed,0.0409,0.0079,0.0079,0.0409,0.0079,0.0079,,,,25.2,0.025,0.025,0.143,0.003,0.003,0.15,0.1,0.1,,,,,2019,26-04-2019,97.83,51.73,51.73,,,,,,,,,,,,,,,,,,,,,,4.02,0.74,0.74,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 211970,335.57,-54.56,,,,,,13.13,0.01,0.01,,,,0.61,0.04,0.04,,,,K7V,,,,4127,94,94,,,
HD 212301 Ab,Confirmed,0.4,,,0.4,,,1.07,,,2.245715,2.80E-05,2.80E-05,0.036,,,0.0147,0.0147,0.0147,,,,0.000683,2005,04-08-2024,172.8,85.6,85.6,2453388.9,,,,,,,,,,,,,,,,,,53549.195,0.004,0.004,59.5,0.7,0.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,,Theoretical,HD 212301 b,,HD 212301 A,336.875,-77.7177778,7.77,,,,,54.2304,0.08585,0.08585,0.188,0.0133,0.0133,1.22,0.187,0.187,1.166,0.0575,0.0575,F7V,5.9,2.4,2.4,6273.13,141.584,141.584,,,HD 212301
HD 212771 b,Confirmed,2.3,0.4,0.4,2.3,0.4,0.4,,,,373.3,3.4,3.4,1.22,0.3,0.3,0.111,0.06,0.06,,,,0.009313,2010,18-03-2010,55,40,40,2454947,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 212771,336.7625,-17.2636111,7.6,,,,,131,14,14,-0.21,0.03,0.03,1.15,0.08,0.08,5,0.1,0.1,G8IV,6,2,2,5121,44,44,,,
HD 213240 Ab,Confirmed,4.5,,,4.5,,,,,,951,42,42,2.03,,,0.45,0.04,0.04,,,,0.049816,2001,04-08-2024,214,7,7,51520,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 213240 A,337.75,-49.4330556,6.8,,,,,40.75,,,0.16,,,1.22,,,1.5,,,G4IV,5.11,,,5975,,,,,
HD 213472 b,Confirmed,3.48,0.59,0.59,3.48,0.59,0.59,,,,16700,4800,4800,13,2.6,2.6,0.53,0.085,0.085,,,,,2021,31-10-2024,37,14,14,,,,2459580,160,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 213472,337.708224,40.72205575,8.17,,,,,64.4527,0.15,0.15,0.16,0.03,0.03,1.04,0.124,0.124,1.382,0.0532,0.0532,G2IV-V,,,,5786.63,95.53,95.53,,,
HD 213519 Ab,Confirmed,0.029,0.004,0.004,0.029,0.004,0.004,,,,11.1,0.001,0.001,0.099,0.004,0.004,0.413,0.144,0.144,,,,,2022,19-06-2024,35.555,16.739,16.739,,,,,,,,,,,,,,,,,,,,,,2.813,0.386,0.386,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 213519 A,337.7738507,45.14509929,,,6.47,6.203,6.14,41,0.0566,0.0566,0.01,0.1,0.1,1.05,0.132,0.132,1.083,0.044,0.044,G1V,,,,5840,103.53,103.53,,,
HD 213519 Ac,Confirmed,47.214,6.425,6.425,,,,,,,32425.2,1306.7,1306.7,20.316,1.034,1.034,0.423,0.05,0.05,18.085,1.15,1.15,,2022,19-06-2024,276.096,2.34,2.34,,,,,,,,,,,,,,,,,,,,,,98.853,0.585,0.585,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Imaging",Astrometry,,,,HD 213519 A,337.7738507,45.14509929,,,6.47,6.203,6.14,41,0.0566,0.0566,0.01,0.1,0.1,1.05,0.132,0.132,1.083,0.044,0.044,G1V,,,,5840,103.53,103.53,,,
HD 213885 Ac,Confirmed,0.06277,0.00434,0.00434,0.06277,0.00434,0.00434,,,,4.78503,0.00051,0.00051,0.056798,0.00032,0.00032,0,,,,,,,2019,31-10-2024,,,,2458396.635,0.054,0.054,,,,,,,,,,,,,,,,,,,7.26,0.48,0.48,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,TOI-141 c,,HD 213885 A,338.9833334,-59.86472225,8,,,,,57.97,0.14,0.14,-0.04,0.03,0.03,1.068,0.02,0.02,1.101,0.0075,0.0075,G1V,3.8,0.79,0.79,5978,50,50,,,TOI-141
HD 21411 b,Confirmed,0.2073,0.0805,0.0805,0.2073,0.0805,0.0805,,,,84.288,0.127,0.127,0.362,0.007,0.007,0.4,0.15,0.15,,,,,2019,19-04-2019,332.4,17.74,17.74,,,,,,,,,,,,,,,,,,,,,,11.47,4.33,4.33,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 21411,51.55,-30.62,,,,,,29.15,0.03,0.03,,,,0.89,0.05,0.05,,,,G8V,,,,5605,132,132,,,
HD 214823 Ab,Confirmed,20.56,0.31,0.31,20.56,0.31,0.31,1.082,,,1853.9,1.6,1.6,3.23,0.19,0.19,0.1633,0.0036,0.0036,,,,,2016,04-08-2024,122.9,1.7,1.7,2455642.1,8.6,8.6,,,,,,,,,,,,,,,,,,,285.2,1.3,1.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 214823 A,340.0829167,31.78759169,8.078,,,,,101.7,,,0.17,0.02,0.02,1.31,0.13,0.13,2.04,,,G0IV,2.7,0.2,0.2,5933,30,30,,,
HD 215152 b,Confirmed,0.00628,0.00235,0.00235,0.00628,0.00235,0.00235,,,,5.75942,0.00095,0.00095,0.057635,0.000755,0.000755,0.357,0.351,0.351,,,,,2018,20-02-2018,352.7,143.4,143.4,,,,,,,,,,,,,,,,,,,,,,0.907,0.364,0.364,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 215152,340.8375,-6.4008333,6.45,,,,,21.5,0.4,0.4,-0.1,0.04,0.04,0.77,0.015,0.015,0.73,0.018,0.018,K3V,,,,4935,76,76,IR Excess,,
HD 215152 c,Confirmed,0.004801,0.00177,0.00177,0.004801,0.00177,0.00177,,,,7.28345,0.00869,0.00869,0.067399,0.000898,0.000898,0.163,0.16,0.16,,,,0.003033,2011,20-02-2018,233.1,164.7,164.7,,,,,,,,,,,,,,,,,,,,,,0.608,0.221,0.221,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 215152,340.8375,-6.4008333,6.45,,,,,21.5,0.4,0.4,-0.1,0.04,0.04,0.77,0.015,0.015,0.73,0.018,0.018,K3V,,,,4935,76,76,IR Excess,,
HD 215152 d,Confirmed,0.008511,0.00259,0.00259,0.008511,0.00259,0.00259,,,,10.8642,0.005,0.005,0.08799,0.00115,0.00115,0.333,0.326,0.326,,,,0.003963,2011,20-02-2018,184.2,131.6,131.6,,,,,,,,,,,,,,,,,,,,,,0.986,0.317,0.317,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 215152,340.8375,-6.4008333,6.45,,,,,21.5,0.4,0.4,-0.1,0.04,0.04,0.77,0.015,0.015,0.73,0.018,0.018,K3V,,,,4935,76,76,IR Excess,,
HD 215152 e,Confirmed,0.01091,0.006711,0.006711,0.01091,0.006711,0.006711,,,,25.1968,0.0526,0.0526,0.15417,0.00204,0.00204,0.173,0.169,0.169,,,,,2018,20-02-2018,163.9,167.1,167.1,,,,,,,,,,,,,,,,,,,,,,0.914,0.559,0.559,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 215152,340.8375,-6.4008333,6.45,,,,,21.5,0.4,0.4,-0.1,0.04,0.04,0.77,0.015,0.015,0.73,0.018,0.018,K3V,,,,4935,76,76,IR Excess,,
HD 215456 Ab,Confirmed,0.101,,,0.101,,,,,,191.99,,,0.652,,,0.15,,,,,,0.017158,2011,04-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 215456 A,341.5333333,-48.9677778,6.63,,,,,39.6064,0.07645,0.07645,-0.085,0.007,0.007,1.04,0.129,0.129,1.72,0.092,0.092,G1IV,7.53,,,5794.01,137.535,137.535,,,
HD 215456 Ac,Confirmed,0.246,,,0.246,,,,,,2277,,,3.394,,,0.19,,,,,,0.089316,2011,04-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 215456 A,341.5333333,-48.9677778,6.63,,,,,39.6064,0.07645,0.07645,-0.085,0.007,0.007,1.04,0.129,0.129,1.72,0.092,0.092,G1IV,7.53,,,5794.01,137.535,137.535,,,
HD 215497 b,Confirmed,0.02,,,0.02,,,,,,3.93404,0.00066,0.00066,0.047,,,0.16,0.009,0.009,,,,0.001068,2009,05-12-2010,96,34,34,54858.95,0.37,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 215497,341.6541667,-56.5994444,8.97,,,,,44,2,2,0.23,0.07,0.07,0.87,0.023,0.023,,,,K3V,7,inf,inf,5113,93,93,,,
HD 215497 c,Confirmed,0.33,,,0.33,,,,,,567.94,2.7,2.7,1.282,,,0.49,0.04,0.04,,,,0.029136,2009,05-12-2010,45,4,4,55003.48,5.15,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 215497,341.6541667,-56.5994444,8.97,,,,,44,2,2,0.23,0.07,0.07,0.87,0.023,0.023,,,,K3V,7,inf,inf,5113,93,93,,,
HD 216520 b,Confirmed,0.03228,0.00311,0.00311,0.03228,0.00311,0.00311,,,,35.45,0.011,0.011,0.198,0.0004,0.0004,0.09,0.06,0.06,,,,,2020,27-06-2021,220.95,125.17,125.17,,,,,,,,,,,,,,,,,,,,,,2.28,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"2MASS J22473183+8341493 b, BD+82 704 b, HIP 112527 b, LSPM J2247+8341 b, SAO 3796 b, TIC 264899051 b, TYC 4650-00917-1 b, WISE J224731.02+834150.7 b",,HD 216520,341.882812,83.697029,,,5.951,5.524,,19.56,0.01,0.01,-0.16,,,0.82,0.04,0.04,0.76,0.01,0.01,K0 V,6,-3,-3,5103,20,20,,,"2MASS J22473183+8341493, BD+82 704, HIP 112527, LSPM J2247+8341, SAO 3796, TIC 264899051, TYC 4650-00917-1, WISE J224731.02+834150.7"
HD 216520 c,Confirmed,0.0297,0.00513,0.00513,0.0297,0.00513,0.00513,,,,154.43,0.44,0.44,0.528,0.01,0.01,0.12,0.08,0.08,,,,,2020,27-06-2021,198.12,96.34,96.34,,,,,,,,,,,,,,,,,,,,,,1.29,0.22,0.22,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"2MASS J22473183+8341493 c, BD+82 704 c, HIP 112527 c, LSPM J2247+8341 c, SAO 3796 c, TIC 264899051 c, TYC 4650-00917-1 c, WISE J224731.02+834150.7 c",,HD 216520,341.882812,83.697029,,,5.951,5.524,,19.56,0.01,0.01,-0.16,,,0.82,0.04,0.04,0.76,0.01,0.01,K0 V,6,-3,-3,5103,20,20,,,"2MASS J22473183+8341493, BD+82 704, HIP 112527, LSPM J2247+8341, SAO 3796, TIC 264899051, TYC 4650-00917-1, WISE J224731.02+834150.7"
HD 216536 b,Confirmed,1.47,0.12,0.12,1.47,0.12,0.12,,,,148.6,0.7,0.7,0.609,0.002,0.002,0.38,0.12,0.12,,,,,2015,10-01-2016,270,21,21,2453587,11,11,,,,,,,,,,,,,,,,,,,50,4,4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 216536,343.2665501,44.47774384,9.23,,,,,,,,-0.17,0.09,0.09,1.36,0.38,0.38,12.5,4,4,K0,3.8,4.3,4.3,4639,45,45,,,
HD 216770 b,Confirmed,0.65,,,0.65,,,,,,118.45,0.4,0.4,0.46,,,0.37,0.06,0.06,,,,0.012105,2003,29-12-2010,281,10,10,52672,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 216770,343.9708333,-26.6586111,8.1,,,,,38,,,0.23,,,0.9,,,1,,,K1 V,3.6,,,5248,,,,,
HD 21693 b,Confirmed,0.0322,0.0046,0.0046,0.0322,0.0046,0.0046,,,,22.656,0.0236,0.0236,0.1484,0.0024,0.0024,0.26,0.17,0.17,,,,0.00458,2011,11-09-2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 21693,51.8,-58.3236111,7.94,,,,,32.4,0.5,0.5,,,,,,,,,,G9IV,,,,,,,,,
HD 21693 c,Confirmed,0.06472,0.0057,0.0057,0.06472,0.0057,0.0057,,,,53.881,0.0704,0.0704,0.2644,0.0044,0.0044,0.24,0.09,0.09,,,,0.00816,2011,11-09-2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 21693,51.8,-58.3236111,7.94,,,,,32.4,0.5,0.5,,,,,,,,,,G9IV,,,,,,,,,
HD 217107 b,Confirmed,1.394,0.06,0.06,1.394,0.06,0.06,,,,7.126853,1.20E-05,1.20E-05,0.0746,0.0016,0.0016,0.1272,0.0028,0.0028,,,,0.003702,1998,28-09-2020,23,1.3,1.3,244998.4,0.04,0.04,,,,,,,,,,,,,,,,,,,140,0.42,0.42,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 217107,344.5625,-2.395,6.16,,,,,19.72,0.3,0.3,0.37,0.05,0.05,1.02,,,1.08,,,G8 IV,7.32,,,5666,40,40,,,
HD 217107 c,Confirmed,4.09,0.23,0.23,4.09,0.23,0.23,,,,5059.3,49,49,5.94,0.13,0.13,0.4,0.01,0.01,,,,0.267241,2005,17-05-2023,204,18,18,2450921,84,84,,,,,,,,,,,,,,,,,,,49.85,1.4,1.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 217107,344.5625,-2.395,6.16,,,,,19.72,0.3,0.3,0.37,0.05,0.05,1.02,,,1.08,,,G8 IV,7.32,,,5666,40,40,,,
HD 217786 Ab,Confirmed,13.852,1.311,1.311,13,0.8,0.8,,,,1301.4,0.5,0.5,2.446,0.119,0.119,0.311,0.003,0.003,69.767,0.386,0.386,0.043431,2010,04-08-2024,100.167,0.689,0.689,56053,7,7,,,,,,,,,,,,,,,,,,,231.499,0.127,0.127,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Radial Velocity,,HD 217786 b,,HD 217786 A,345.7833333,0.4297222,7.8,,,,,54.8,2,2,-0.135,0.043,0.043,1.02,0.03,0.03,1.27,0.06,0.06,F8V,7.6,,,5966,65,65,,,HD 217786
HD 217786 Ac,Confirmed,0.023,0.002,0.002,0.023,0.002,0.002,,,,2.5,2.50E-05,2.50E-05,0.038,0.002,0.002,0.399,0.218,0.218,,,,,2022,04-08-2024,84.352,88.962,88.962,,,,,,,,,,,,,,,,,,,,,,3.662,0.074,0.074,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 217786 A,345.7833333,0.4297222,7.8,,,,,54.8,2,2,-0.135,0.043,0.043,1.02,0.03,0.03,1.27,0.06,0.06,F8V,7.6,,,5966,65,65,,,HD 217786
HD 217958 Ab,Confirmed,0.524,0.063,0.063,,,,,,,2560.2,91.2,91.2,3.758,0.2,0.2,0.156,0.081,0.081,91.357,38.771,38.771,,2022,28-07-2024,252.258,117.42,117.42,,,,,,,,,,,,,,,,,,,,,,7.474,1.117,1.117,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Astrometry,,,,HD 217958 A,346.1369614,-25.69110965,8.05,,6.875,6.59,6.513,61.7957,0.20925,0.20925,0.286,0.0257,0.0257,1.08,0.1413,0.1413,1.326,0.068,0.068,G0IV-V,,,,5930.64,134.988,134.988,,,
HD 218566 b,Confirmed,0.21,0.02,0.02,0.21,0.02,0.02,,,,225.7,0.4,0.4,0.6873,0.0008,0.0008,0.3,0.1,0.1,,,,0.022956,2010,18-11-2010,36,24,24,10360,154,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 218566,347.2958333,-2.2608333,8.63,,,,,29.94,1.11,1.11,0.38,,,0.85,0.03,0.03,0.86,0.08,0.08,K3V,8.5,,,4820,,,,,
HD 219077 b,Confirmed,13.4,0.78,0.78,13.4,0.78,0.78,,,,5513,45,45,7.03,0.2,0.2,0.768,0.004,0.004,,,,,2012,02-05-2019,55.6,0.7,0.7,2450455.8,1.4,1.4,,,,,,,,,,,,,,,,,,,181.9,1.7,1.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 219077,348.5292,-62.7,6.12,,,,,29.35,0.3,0.3,-0.13,0.01,0.01,1.05,0.02,0.02,,,,G8V,8.9,0.3,0.3,5362,18,18,,,
HD 219134 c,Confirmed,0.01246,0.00107,0.00107,0.004754,0.000148,0.000148,0.12624,0.00437,0.00437,6.765159,3.60E-05,3.60E-05,0.062,,,0,0,0,,,,,2015,16-02-2021,,,,2449908.5,0.5,0.5,,,,2458766.169,0.00066,0.00066,,,,,,,,,,,,,1.4,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Theoretical,Primary Transit,,,HD 219134,348.3208333,57.16833334,5.57,,,,,6.55,,,0.11,0.04,0.04,0.794,,,0.778,0.005,0.005,K3V,,,,4699,16,16,,,
HD 219134 d,Confirmed,0.05236,,,0.067,0.004,0.004,,,,46.71,0.01,0.01,0.225,,,0,,,,,,,2015,24-09-2019,,,,2449964,1,1,,,,,,,,,,,,,,,,,,,4.4,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,,,HD 219134,348.3208333,57.16833334,5.57,,,,,6.55,,,0.11,0.04,0.04,0.794,,,0.778,0.005,0.005,K3V,,,,4699,16,16,,,
